epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
54;7736.051;7736.051;8016.060;8124.645;7979.237;8124.645;110.541;17.725;29.909;.000;.000
55;7736.051;7736.051;8016.060;8124.645;7979.237;8124.645;110.541;16.900;29.676;.000;.000
56;7736.051;7736.051;8016.060;8124.645;7978.964;8124.645;110.335;15.404;30.341;.000;.000
57;7736.051;7736.051;8016.060;8124.645;7978.964;8124.645;110.335;14.794;31.628;.000;.000
58;7736.051;7736.051;8016.060;8124.645;7977.860;8124.645;109.570;16.022;31.094;.000;.000
59;7736.051;7736.051;8016.060;8124.251;7977.821;8124.251;109.511;16.956;30.819;.000;.000
60;7736.051;7736.051;8016.060;8103.511;7975.747;8103.511;106.588;15.132;32.326;.000;.000
61;7736.051;7736.051;8016.060;8103.511;7975.747;8103.511;106.588;14.985;31.926;.000;.000
62;7736.051;7736.051;8016.060;8103.511;7974.397;8103.511;105.572;13.993;29.830;.000;.000
63;7736.051;7736.051;8005.620;8103.511;7971.475;8103.511;104.107;16.127;30.585;.000;.000
64;7736.051;7736.051;8005.620;8103.511;7971.475;8103.511;104.107;15.265;28.418;.000;.000
65;7736.051;7736.051;8005.620;8103.511;7971.475;8103.511;104.107;15.093;28.344;.000;.000
66;7736.051;7736.051;7989.514;8103.511;7966.410;8103.511;101.596;16.890;26.763;.000;.000
67;7736.051;7736.051;7989.514;8103.511;7966.410;8103.511;101.596;16.551;27.079;.000;.000
68;7736.051;7736.051;7988.783;8103.511;7966.337;8103.511;101.577;15.654;24.589;.000;.000
69;7736.051;7736.051;7987.694;8090.448;7958.786;8090.448;96.258;16.458;26.588;.000;.000
70;7736.051;7736.051;7979.052;8090.448;7949.468;8090.448;97.533;15.924;25.631;.000;.000
71;7736.051;7736.051;7979.052;8090.448;7949.468;8090.448;97.533;16.814;27.463;.000;.000
72;7736.051;7736.051;7979.052;8090.448;7949.468;8090.448;97.533;15.049;25.968;.000;.000
73;7736.051;7736.051;7979.052;8090.448;7949.468;8090.448;97.533;13.591;25.513;.000;.000
74;7736.051;7736.051;7979.052;8090.448;7948.934;8090.448;97.412;18.061;26.890;.000;.000
75;7736.051;7736.051;7979.052;8090.448;7948.934;8090.448;97.412;19.172;26.888;.000;.000
76;7736.051;7736.051;7979.052;8090.448;7948.934;8090.448;97.412;16.745;26.925;.000;.000
77;7736.051;7736.051;7979.052;8090.448;7942.682;8090.448;103.059;14.074;25.328;.000;.000
78;7736.051;7736.051;7966.378;8090.448;7938.598;8090.448;101.078;16.174;25.818;.000;.000
79;7736.051;7736.051;7966.378;8090.448;7938.598;8090.448;101.078;16.331;26.039;.000;.000
80;7736.051;7736.051;7966.378;8090.448;7938.598;8090.448;101.078;17.941;24.743;.000;.000
81;7736.051;7736.051;7966.378;8090.448;7938.598;8090.448;101.078;15.402;26.565;.000;.000
82;7736.051;7736.051;7962.343;8090.448;7932.365;8090.448;98.934;18.279;27.628;.000;.000
83;7736.051;7736.051;7962.343;8090.448;7932.365;8090.448;98.934;17.368;27.680;.000;.000
84;7736.051;7736.051;7962.343;8090.448;7932.365;8090.448;98.934;18.436;27.818;.000;.000
85;7736.051;7736.051;7962.343;8090.448;7932.365;8090.448;98.934;18.500;25.891;.000;.000
86;7736.051;7736.051;7962.343;8090.448;7932.365;8090.448;98.934;15.547;25.290;.000;.000
87;7736.051;7736.051;7962.343;8090.448;7929.856;8090.448;102.001;16.243;26.335;.000;.000
88;7736.051;7736.051;7962.343;8090.448;7929.856;8090.448;102.001;17.044;28.389;.000;.000
89;7736.051;7736.051;7962.343;8090.448;7929.856;8090.448;102.001;17.748;28.678;.000;.000
90;7736.051;7736.051;7962.343;8038.844;7924.696;8038.844;93.962;17.203;28.390;.000;.000
91;7736.051;7736.051;7962.343;8038.844;7924.696;8038.844;93.962;14.069;26.488;.000;.000
92;7736.051;7736.051;7962.343;8038.844;7924.696;8038.844;93.962;14.978;27.689;.000;.000
93;7736.051;7736.051;7962.343;8038.844;7924.696;8038.844;93.962;15.135;26.589;.000;.000
94;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;14.257;28.880;.000;.000
95;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;14.431;27.160;.000;.000
96;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;15.409;26.436;.000;.000
97;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;17.520;26.701;.000;.000
98;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;16.123;27.980;.000;.000
99;7736.051;7736.051;7962.343;8038.844;7923.555;8038.844;93.746;14.716;29.080;.000;.000
100;7736.051;7736.051;7962.343;8038.844;7922.987;8038.844;93.691;15.995;26.204;.000;.000
101;7736.051;7736.051;7962.343;8038.844;7922.987;8038.844;93.691;13.037;28.968;.000;.000
102;7736.051;7736.051;7962.343;8023.777;7921.480;8023.777;91.721;15.456;28.330;.000;.000
103;7736.051;7736.051;7958.041;8023.777;7921.050;8023.777;91.518;16.620;29.169;.000;.000
104;7722.221;7722.221;7958.041;8023.777;7919.667;8023.777;94.674;15.397;28.896;.000;.000
105;7722.221;7722.221;7958.041;8023.777;7919.667;8023.777;94.674;15.022;25.198;.000;.000
106;7722.221;7722.221;7958.041;8023.777;7919.667;8023.777;94.674;15.838;26.028;.000;.000
107;7722.221;7722.221;7958.041;8023.777;7919.667;8023.777;94.674;13.382;26.741;.000;.000
108;7722.221;7722.221;7958.041;8023.777;7916.740;8023.777;91.772;13.909;24.779;.000;.000
109;7722.221;7722.221;7958.041;8023.777;7915.436;8023.777;92.651;15.488;30.621;.000;.000
110;7722.221;7722.221;7958.041;8023.777;7915.436;8023.777;92.651;16.270;26.841;.000;.000
111;7722.221;7722.221;7958.041;8023.777;7915.436;8023.777;92.651;14.208;28.363;.000;.000
112;7717.926;7717.926;7958.041;8023.777;7915.006;8023.777;93.651;16.630;29.200;.000;.000
113;7717.926;7717.926;7958.041;8023.777;7913.507;8023.777;92.487;13.123;30.613;.000;.000
114;7717.926;7717.926;7944.549;8023.777;7910.782;8023.777;90.967;13.841;29.506;.000;.000
115;7717.926;7717.926;7944.549;8023.777;7910.782;8023.777;90.967;17.640;29.506;.000;.000
116;7633.920;7633.920;7944.549;8023.777;7902.381;8023.777;112.165;14.346;31.874;.000;.000
117;7633.920;7633.920;7944.549;8014.830;7901.486;8014.830;111.120;16.206;30.330;.000;.000
