epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;26764.089;26764.089;27778.820;28262.290;27450.919;28262.290;534.086;26.373;37.600;.000;.000
1;19834.112;19834.112;23066.251;28262.290;23275.048;28262.290;2849.626;22.059;27.450;.000;.000
2;16128.377;16128.377;22248.843;26539.631;21444.528;26539.631;3173.441;24.020;34.100;.000;.000
3;15860.949;15860.949;19834.112;23803.332;20086.681;23803.332;2644.957;25.980;34.050;.000;.000
4;15425.420;15425.420;18393.165;23166.993;18979.751;23166.993;2359.237;21.569;32.400;.000;.000
5;15425.420;15425.420;17873.777;23166.993;18700.871;23166.993;2537.986;15.588;23.050;.000;.000
6;14834.809;14834.809;17582.846;23166.993;17989.313;23166.993;2956.768;21.373;32.350;.000;.000
7;13884.940;13884.940;16885.777;21794.405;17239.886;21794.405;2721.350;19.706;29.450;.000;.000
8;13884.940;13884.940;16885.777;20424.935;16652.594;20424.935;2311.925;20.686;29.500;.000;.000
9;13582.868;13582.868;15434.983;20424.935;16166.287;20424.935;2228.245;14.118;24.000;.000;.000
