epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
62;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;22.973;24.200;.000;.000
63;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;23.446;24.405;.000;.000
64;14188.473;14188.473;15463.725;16542.162;15424.224;16542.162;758.981;23.270;24.600;.000;.000
65;14188.473;14188.473;15463.725;16542.162;15371.676;16542.162;712.110;22.554;23.655;.000;.000
66;14188.473;14188.473;15463.725;16542.162;15356.916;16542.162;698.851;22.838;23.570;.000;.000
67;14188.473;14188.473;15463.725;16542.162;15354.643;16542.162;697.164;23.446;25.685;.000;.000
68;14188.473;14188.473;15463.725;16445.730;15329.272;16445.730;671.333;21.986;23.965;.000;.000
69;14188.473;14188.473;15463.725;16445.730;15300.601;16445.730;700.212;24.135;24.920;.000;.000
70;14188.473;14188.473;15463.725;16445.730;15260.998;16445.730;706.400;24.959;25.615;.000;.000
71;14188.473;14188.473;15463.725;16445.730;15229.687;16445.730;733.590;23.338;25.120;.000;.000
72;14188.473;14188.473;15135.636;16384.886;15147.430;16384.886;741.706;24.203;25.000;.000;.000
73;13240.845;13240.845;15135.636;16384.886;15024.399;16384.886;902.230;24.405;24.820;.000;.000
74;13240.845;13240.845;15135.636;16384.886;15017.556;16384.886;907.128;25.824;25.840;.000;.000
75;13240.845;13240.845;15135.636;16384.886;14987.594;16384.886;886.285;22.297;24.715;.000;.000
76;13240.845;13240.845;15135.636;16384.886;14929.605;16384.886;882.867;23.243;24.215;.000;.000
77;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;22.797;23.720;.000;.000
78;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;20.824;22.705;.000;.000
79;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;23.743;24.480;.000;.000
80;13240.845;13240.845;14914.299;15621.509;14619.143;15621.509;812.663;23.149;25.410;.000;.000
81;13240.845;13240.845;14765.513;15621.509;14574.259;15621.509;778.448;23.297;24.035;.000;.000
82;13240.845;13240.845;14765.513;15621.509;14559.152;15621.509;780.523;23.824;24.220;.000;.000
83;13240.845;13240.845;14765.513;15339.182;14530.919;15339.182;741.981;23.054;23.345;.000;.000
84;13240.845;13240.845;14765.513;15339.182;14528.418;15339.182;742.532;24.446;24.460;.000;.000
85;12927.777;12927.777;14765.513;15339.182;14443.651;15339.182;825.964;26.014;25.550;.000;.000
86;12927.777;12927.777;14765.513;15339.182;14443.651;15339.182;825.964;23.243;25.960;.000;.000
87;12927.777;12927.777;14765.513;15339.182;14431.836;15339.182;831.377;22.932;24.725;.000;.000
88;12927.777;12927.777;14765.513;15339.182;14424.586;15339.182;839.845;25.351;27.105;.000;.000
89;12927.777;12927.777;14765.513;15339.182;14424.586;15339.182;839.845;25.324;26.320;.000;.000
90;12927.777;12927.777;14765.513;15339.182;14399.024;15339.182;873.855;23.716;26.235;.000;.000
91;12045.019;12045.019;14765.513;15339.182;14310.748;15339.182;1063.090;24.324;25.830;.000;.000
92;12045.019;12045.019;14550.281;15244.435;14191.055;15244.435;1049.486;24.068;25.260;.000;.000
93;12045.019;12045.019;14550.281;15170.359;14147.344;15170.359;1022.243;23.068;25.655;.000;.000
94;12045.019;12045.019;14550.281;15170.359;14147.344;15170.359;1022.243;24.568;27.250;.000;.000
95;12045.019;12045.019;14550.281;15170.359;14127.485;15170.359;1025.322;22.851;27.000;.000;.000
96;12045.019;12045.019;14448.975;15170.359;14050.645;15170.359;968.908;24.135;27.225;.000;.000
97;11798.158;11798.158;14448.975;15170.359;14025.959;15170.359;1027.084;23.689;27.870;.000;.000
98;11798.158;11798.158;14448.975;15016.371;13971.364;15016.371;973.786;22.959;26.860;.000;.000
99;11798.158;11798.158;14174.260;15016.371;13919.037;15016.371;944.034;24.176;27.200;.000;.000
100;11798.158;11798.158;14174.260;15016.371;13919.037;15016.371;944.034;22.811;26.370;.000;.000
101;11798.158;11798.158;14174.260;15016.371;13909.951;15016.371;938.790;23.703;25.520;.000;.000
102;11798.158;11798.158;14174.260;15016.371;13909.951;15016.371;938.790;22.514;25.095;.000;.000
103;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;24.797;27.330;.000;.000
104;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;22.703;26.790;.000;.000
105;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;23.378;26.025;.000;.000
106;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;25.568;27.515;.000;.000
107;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;23.892;26.890;.000;.000
108;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;22.986;26.680;.000;.000
109;11798.158;11798.158;14156.032;15016.371;13749.496;15016.371;965.580;24.622;26.130;.000;.000
110;11798.158;11798.158;13786.369;15016.371;13659.198;15016.371;921.724;23.608;27.125;.000;.000
111;11798.158;11798.158;13786.369;15016.371;13612.472;15016.371;890.530;22.919;25.900;.000;.000
112;11798.158;11798.158;13786.369;15016.371;13612.472;15016.371;890.530;24.865;27.680;.000;.000
113;11798.158;11798.158;13786.369;15016.371;13563.222;15016.371;876.032;25.311;28.360;.000;.000
114;11798.158;11798.158;13502.503;15016.371;13511.963;15016.371;860.360;23.257;26.680;.000;.000
115;11798.158;11798.158;13502.503;15016.371;13511.963;15016.371;860.360;25.527;27.530;.000;.000
116;11798.158;11798.158;13441.458;15016.371;13504.635;15016.371;859.669;24.581;27.460;.000;.000
117;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;22.797;26.840;.000;.000
118;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;24.865;26.770;.000;.000
119;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;23.527;25.425;.000;.000
120;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;24.270;27.205;.000;.000
121;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;24.365;27.745;.000;.000
122;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.297;28.430;.000;.000
123;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.676;28.410;.000;.000
124;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.649;27.805;.000;.000
125;11798.158;11798.158;13390.036;15016.371;13423.417;15016.371;850.142;22.824;26.545;.000;.000
126;11798.158;11798.158;13312.551;15016.371;13255.096;15016.371;887.585;24.405;27.930;.000;.000
127;11798.158;11798.158;13312.551;15016.371;13255.096;15016.371;887.585;24.243;27.440;.000;.000
128;11798.158;11798.158;13293.953;15016.371;13253.236;15016.371;887.471;23.257;27.870;.000;.000
129;11798.158;11798.158;13293.953;15016.371;13253.236;15016.371;887.471;24.311;27.985;.000;.000
130;11798.158;11798.158;13293.953;15016.371;13225.699;15016.371;908.177;22.635;28.005;.000;.000
131;11798.158;11798.158;13293.953;15016.371;13225.699;15016.371;908.177;24.486;26.540;.000;.000
132;11798.158;11798.158;13293.953;14887.504;13174.815;14887.504;897.364;23.554;26.980;.000;.000
133;11798.158;11798.158;13293.953;14887.504;13174.815;14887.504;897.364;24.568;26.885;.000;.000
134;11798.158;11798.158;13289.980;14887.504;13174.418;14887.504;897.307;26.365;28.150;.000;.000
135;11798.158;11798.158;13289.980;14887.504;13157.239;14887.504;892.109;23.270;27.195;.000;.000
136;11798.158;11798.158;12993.323;14887.504;13066.548;14887.504;922.689;22.054;25.120;.000;.000
137;11798.158;11798.158;12993.323;14887.504;13039.686;14887.504;947.139;23.757;25.770;.000;.000
138;11798.158;11798.158;12993.323;14887.504;13007.745;14887.504;966.293;23.919;27.435;.000;.000
139;11798.158;11798.158;12993.323;14887.504;12997.879;14887.504;973.909;26.230;28.115;.000;.000
140;11798.158;11798.158;12993.323;14887.504;12997.879;14887.504;973.909;26.635;26.680;.000;.000
141;11798.158;11798.158;12993.323;14887.504;12997.879;14887.504;973.909;26.338;26.805;.000;.000
142;11798.158;11798.158;12993.323;14887.504;12997.879;14887.504;973.909;25.797;26.875;.000;.000
143;11798.158;11798.158;12993.323;14887.504;12997.879;14887.504;973.909;25.378;27.485;.000;.000
144;11798.158;11798.158;12946.330;14887.504;12993.179;14887.504;974.047;24.270;26.515;.000;.000
145;11798.158;11798.158;12946.330;14887.504;12993.179;14887.504;974.047;25.716;27.270;.000;.000
146;11798.158;11798.158;12946.330;14887.504;12904.481;14887.504;978.776;23.446;26.530;.000;.000
147;11798.158;11798.158;12946.330;14887.504;12904.481;14887.504;978.776;25.189;27.420;.000;.000
148;11798.158;11798.158;12946.330;14887.504;12872.617;14887.504;966.630;23.662;27.045;.000;.000
149;11798.158;11798.158;12946.330;14887.504;12872.617;14887.504;966.630;26.662;28.865;.000;.000
150;11798.158;11798.158;12946.330;14887.504;12872.617;14887.504;966.630;26.500;28.530;.000;.000
151;11798.158;11798.158;12946.330;14887.504;12867.110;14887.504;971.640;24.878;27.910;.000;.000
152;11798.158;11798.158;12946.330;14887.504;12867.110;14887.504;971.640;23.378;26.695;.000;.000
153;11798.158;11798.158;12946.330;14887.504;12863.651;14887.504;975.696;23.622;28.280;.000;.000
154;11714.661;11714.661;12946.330;14887.504;12849.222;14887.504;992.298;21.338;26.160;.000;.000
155;11536.968;11536.968;12946.330;14887.504;12809.480;14887.504;1038.043;23.622;26.910;.000;.000
156;11536.968;11536.968;12946.330;14817.369;12799.235;14817.369;1019.838;24.365;27.870;.000;.000
157;11536.968;11536.968;12946.330;14817.369;12766.385;14817.369;1020.513;23.986;27.300;.000;.000
158;11346.280;11346.280;12946.330;14817.369;12720.428;14817.369;1076.104;22.216;26.140;.000;.000
159;11346.280;11346.280;12946.330;14817.369;12720.428;14817.369;1076.104;22.784;26.175;.000;.000
160;11218.359;11218.359;12946.330;14817.369;12684.452;14817.369;1122.222;23.595;25.425;.000;.000
161;11218.359;11218.359;12662.874;14817.369;12630.055;14817.369;1105.097;21.176;24.270;.000;.000
162;11218.359;11218.359;12662.874;14817.369;12567.518;14817.369;1133.525;22.000;23.840;.000;.000
163;11218.359;11218.359;12662.874;14817.369;12567.518;14817.369;1133.525;23.081;25.255;.000;.000
164;11218.359;11218.359;12662.874;14817.369;12566.275;14817.369;1132.753;21.730;25.470;.000;.000
165;11098.117;11098.117;12662.874;14817.369;12507.770;14817.369;1129.657;21.770;24.055;.000;.000
166;11098.117;11098.117;12662.874;14817.369;12499.419;14817.369;1137.207;22.027;24.945;.000;.000
167;11098.117;11098.117;12662.874;14817.369;12487.692;14817.369;1145.473;22.689;24.600;.000;.000
168;11098.117;11098.117;12662.874;14817.369;12487.692;14817.369;1145.473;22.824;25.275;.000;.000
169;11098.117;11098.117;12662.874;14817.369;12487.692;14817.369;1145.473;19.473;21.820;.000;.000
170;11098.117;11098.117;12657.609;14817.369;12487.165;14817.369;1145.385;21.649;23.770;.000;.000
171;11098.117;11098.117;12657.609;14817.369;12483.681;14817.369;1148.635;21.027;22.825;.000;.000
172;11098.117;11098.117;12383.073;14817.369;12428.573;14817.369;1145.126;21.568;23.655;.000;.000
173;11098.117;11098.117;12383.073;14817.369;12423.872;14817.369;1144.629;21.284;24.320;.000;.000
174;11098.117;11098.117;12383.073;14817.369;12420.366;14817.369;1147.121;22.419;25.135;.000;.000
175;11098.117;11098.117;12383.073;14817.369;12420.366;14817.369;1147.121;22.541;24.155;.000;.000
176;11098.117;11098.117;12383.073;14817.369;12420.366;14817.369;1147.121;20.311;22.945;.000;.000
177;11098.117;11098.117;12262.791;14817.369;12390.331;14817.369;1148.580;23.622;25.950;.000;.000
178;11098.117;11098.117;12219.439;14817.369;12385.091;14817.369;1149.346;22.270;23.590;.000;.000
179;11098.117;11098.117;12219.439;14817.369;12385.091;14817.369;1149.346;20.919;23.445;.000;.000
180;11098.117;11098.117;12219.439;14817.369;12381.665;14817.369;1149.976;23.149;25.095;.000;.000
181;11098.117;11098.117;12219.439;14817.369;12372.465;14817.369;1152.168;22.203;23.165;.000;.000
182;11098.117;11098.117;12219.439;14817.369;12372.233;14817.369;1152.233;21.824;22.320;.000;.000
183;11098.117;11098.117;12219.439;14817.369;12372.233;14817.369;1152.233;22.081;24.445;.000;.000
184;10851.509;10851.509;12219.439;14817.369;12345.349;14817.369;1185.289;22.797;25.435;.000;.000
185;10851.509;10851.509;12219.439;14817.369;12323.168;14817.369;1193.279;21.811;24.755;.000;.000
186;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;24.189;25.915;.000;.000
187;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;23.932;24.850;.000;.000
188;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;24.081;25.130;.000;.000
189;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;25.284;25.100;.000;.000
190;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;24.757;25.390;.000;.000
191;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;23.946;25.405;.000;.000
192;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;23.176;24.610;.000;.000
193;10851.509;10851.509;12219.439;14817.369;12302.675;14817.369;1204.250;24.297;25.235;.000;.000
194;10851.509;10851.509;12219.439;14817.369;12299.644;14817.369;1206.160;24.257;25.005;.000;.000
195;10851.509;10851.509;12219.439;14817.369;12299.644;14817.369;1206.160;23.986;25.310;.000;.000
196;10851.509;10851.509;12219.439;14817.369;12299.644;14817.369;1206.160;23.824;26.075;.000;.000
197;10851.509;10851.509;12219.439;14817.369;12275.094;14817.369;1220.720;23.905;24.690;.000;.000
198;10851.509;10851.509;12219.439;14817.369;12264.221;14817.369;1220.548;23.108;25.480;.000;.000
199;10851.509;10851.509;12219.439;14817.369;12264.221;14817.369;1220.548;22.324;23.930;.000;.000
